date,resting_hr,avg_hr,steps,exercise_minutes,active_energy,spo2,sleep_hours,workouts
2026-05-15,63,82,9164,25,525,97,7.0,1
2026-05-16,63,82,7741,29,552,97,7.1,1
2026-05-17,59,72,7767,35,561,98,7.3,1
2026-05-18,61,78,8648,31,513,98,7.4,1
2026-05-19,62,75,7926,32,503,97,7.0,1
2026-05-20,59,84,8480,27,513,96,7.4,1
2026-05-21,62,74,9524,37,556,96,6.7,1
2026-05-22,60,80,8082,38,510,97,7.5,1
2026-05-23,60,81,9202,26,590,97,6.6,1
2026-05-24,62,74,8106,39,471,97,7.4,1
2026-05-25,64,72,7652,32,527,96,7.5,1
2026-05-26,60,79,8322,40,540,97,7.5,1
2026-05-27,62,77,9788,34,530,96,7.6,1
2026-05-28,60,82,9171,31,544,98,7.7,1
2026-05-29,59,77,7950,33,456,98,7.6,1
2026-05-30,62,76,8197,37,523,97,6.9,1
2026-05-31,58,76,7935,32,496,97,6.7,1
2026-06-01,63,82,7434,35,561,98,7.5,1
2026-06-02,62,81,8228,30,484,97,6.8,1
2026-06-03,58,77,8264,33,521,97,7.0,1
2026-06-04,62,79,8367,35,558,96,7.7,1
2026-06-05,60,81,7942,33,583,96,7.6,1
2026-06-06,58,83,9121,37,549,97,7.5,1
2026-06-07,65,80,5336,16,384,,6.4,0
2026-06-08,68,77,5785,10,244,96,5.8,0
2026-06-09,66,78,6013,11,391,,5.5,0
2026-06-10,65,79,6634,18,361,,6.5,0
2026-06-11,68,79,5826,22,285,96,5.7,1
2026-06-12,65,79,6889,11,260,,6.2,0
2026-06-13,66,81,6810,22,262,96,5.5,1
