date,resting_hr,avg_hr,steps,exercise_minutes,active_energy,spo2,sleep_hours,workouts,bedtime_min,wake_min
2024-06-14,58,80,9155,33,400,,7.4,0,615,406
2024-06-15,59,72,9960,26,449,,7.6,0,673,385
2024-06-16,56,78,8504,20,414,,7.2,1,621,422
2024-06-17,61,72,7629,29,547,,7.1,1,680,390
2024-06-18,57,76,8123,38,513,98,6.9,0,659,384
2024-06-19,56,77,8374,30,524,,7,0,676,386
2024-06-20,60,81,7653,33,567,97,7.7,0,650,415
2024-06-21,55,70,8837,29,478,,6.9,0,643,400
2024-06-23,61,79,9739,24,465,,7.3,0,671,428
2024-06-24,56,82,9160,29,520,,7.3,0,655,423
2024-06-25,58,71,10209,40,568,,7.5,1,643,401
2024-06-26,56,71,10264,28,410,97,6.9,0,634,408
2024-06-27,58,81,7549,30,564,,7.1,0,625,404
2024-06-28,60,71,8118,35,421,,7.5,0,620,410
2024-06-29,55,75,7984,33,505,98,7.4,1,635,414
2024-06-30,59,75,10211,30,405,98,6.7,0,620,422
2024-07-01,59,76,8223,38,443,96,7.6,0,622,394
2024-07-02,59,76,10035,27,532,,7,1,681,399
2024-07-03,58,82,8870,33,397,,7.2,1,645,416
2024-07-04,59,79,10624,21,428,97,6.8,0,682,417
2024-07-05,58,80,10251,36,502,96,6.7,0,630,427
2024-07-06,56,82,9809,37,519,97,6.8,1,618,413
2024-07-07,60,79,10042,22,465,,7.6,1,614,405
2024-07-08,61,74,10447,35,394,,7.3,1,626,390
2024-07-09,58,79,8642,32,414,98,6.7,1,613,418
2024-07-10,57,74,8656,23,452,,7,1,627,395
2024-07-11,58,81,8587,34,453,97,6.7,0,617,419
2024-07-12,57,80,7928,37,396,,6.6,0,621,389
2024-07-13,58,78,7815,33,467,,7.2,0,650,398
2024-07-14,58,79,10280,39,535,98,6.5,1,678,407
2024-07-15,58,78,8574,28,512,,7.5,0,649,422
2024-07-16,61,72,10831,22,454,,7.3,1,643,392
2024-07-17,57,81,9071,37,447,,7.2,1,631,421
2024-07-18,56,80,10807,36,496,,6.8,0,655,407
2024-07-19,59,74,9610,23,476,98,6.7,0,622,382
2024-07-20,56,73,9637,32,492,97,6.8,1,621,383
2024-07-21,55,80,9323,26,483,,7.3,1,633,388
2024-07-22,57,82,7383,22,500,97,7.5,1,643,392
2024-07-23,56,71,8924,26,473,98,6.9,1,664,385
2024-07-24,58,80,8339,26,439,,7.3,0,639,404
2024-07-25,57,70,8738,23,390,,6.5,0,639,393
2024-07-26,56,74,9694,28,473,97,6.6,1,625,418
2024-07-27,58,80,10741,32,459,,6.6,0,648,407
2024-07-28,59,80,10277,35,432,97,7.3,0,636,392
2024-07-29,56,77,10888,28,489,,7.6,1,623,405
2024-07-30,58,73,9902,38,447,96,7.7,1,643,384
2024-07-31,56,78,8764,36,503,,6.8,0,676,403
2024-08-01,60,77,9301,37,419,97,7.4,0,648,417
2024-08-02,57,81,7898,35,563,,6.8,1,619,395
2024-08-03,60,74,7323,35,422,,7.5,1,652,394
2024-08-04,57,76,10245,22,509,,7.1,1,652,407
2024-08-05,60,73,10144,37,511,,7.6,0,634,424
2024-08-06,61,72,7339,22,485,,6.6,1,644,404
2024-08-07,58,75,8454,40,562,96,6.7,1,636,397
2024-08-08,59,72,8349,34,392,,7,1,641,409
2024-08-11,57,72,7839,30,439,97,6.7,1,639,404
2024-08-12,57,79,10895,36,427,,7.5,1,617,409
2024-08-13,61,72,10300,33,471,98,6.5,0,620,410
2024-08-14,60,75,8485,30,465,,7.6,0,682,384
2024-08-15,59,79,7813,23,540,97,7.6,0,652,389
2024-08-16,57,71,8980,32,446,97,7.3,0,650,404
2024-08-17,57,78,7361,37,402,97,7.2,1,683,406
2024-08-18,60,77,8203,22,522,,6.7,1,676,390
2024-08-19,59,74,8316,25,552,,7.7,0,670,410
2024-08-20,61,81,10521,27,568,,7.5,0,680,410
2024-08-21,58,75,7785,23,462,,7,0,679,421
2024-08-22,56,79,9465,26,416,96,7,1,637,420
2024-08-23,59,70,10232,23,439,,7.3,1,632,401
2024-08-24,56,76,10437,30,409,,6.5,0,655,411
2024-08-26,56,75,9728,25,491,96,7.7,0,672,381
2024-08-27,60,78,8052,37,415,98,7.6,0,647,394
2024-08-28,61,73,8013,32,498,96,6.5,0,672,418
2024-08-29,56,76,8719,23,397,96,7.6,1,655,399
2024-08-30,58,73,9360,39,515,,7.7,0,624,414
2024-08-31,56,77,10073,27,559,,6.9,1,659,428
2024-09-02,56,76,10747,32,485,97,7.3,0,643,412
2024-09-03,57,77,8300,21,541,,7.5,0,655,399
2024-09-04,59,82,9610,39,517,96,6.8,1,671,411
2024-09-05,61,81,9232,25,484,,7.4,1,678,421
2024-09-06,55,73,10675,23,560,,7.5,0,655,422
2024-09-07,59,72,8170,23,432,,7.6,1,677,417
2024-09-08,56,76,7450,22,429,,6.8,1,649,395
2024-09-09,57,78,10499,23,421,,6.7,1,673,395
2024-09-10,59,71,7772,30,549,,7.5,1,663,428
2024-09-12,61,72,9753,25,399,,7.6,0,616,397
2024-09-13,60,79,10384,36,466,98,7.7,1,642,408
2024-09-16,60,75,8430,30,454,98,6.9,0,645,414
2024-09-17,56,81,8560,30,437,98,7.7,0,669,385
2024-09-18,61,80,7454,27,558,,7.1,1,661,424
2024-09-19,58,78,10455,28,452,,6.7,1,641,422
2024-09-20,61,78,7684,23,500,96,7.5,0,640,418
2024-09-22,58,76,10371,35,437,,6.9,0,635,398
2024-09-23,56,82,10018,31,537,97,7.2,1,665,412
2024-09-24,57,77,8340,25,494,,6.6,0,681,391
2024-09-25,59,72,10076,35,473,,7.3,1,675,402
2024-09-26,58,81,8032,22,475,,6.6,1,664,403
2024-09-27,59,76,10310,23,410,,7,1,644,389
2024-09-28,61,81,9718,38,485,,7.2,0,640,414
2024-09-29,57,76,8402,26,467,98,6.5,1,668,423
2024-09-30,60,80,8138,23,394,,7.1,0,645,429
2024-10-01,59,77,7502,37,395,,6.7,1,675,385
2024-10-02,55,76,6681,31,450,,7.6,1,656,382
2024-10-03,59,75,8259,33,506,,6.5,1,628,407
2024-10-04,56,78,8370,30,449,,6.7,1,649,404
2024-10-05,59,79,6826,28,508,97,6.9,0,629,428
2024-10-06,58,78,6605,28,535,,6.8,0,636,383
2024-10-07,58,82,8547,37,444,,7.6,1,673,409
2024-10-08,58,72,9482,37,428,96,6.6,1,626,429
2024-10-09,59,72,6763,28,555,,6.8,1,624,427
2024-10-11,58,73,7578,35,510,97,7.3,1,622,417
2024-10-12,57,73,9101,27,547,,7.7,0,666,415
2024-10-13,58,75,7448,20,488,,7,1,635,380
2024-10-14,57,79,7620,27,468,,6.5,0,643,397
2024-10-15,56,70,7989,23,526,96,7.2,0,639,381
2024-10-16,58,72,8694,26,489,,7,1,622,389
2024-10-17,57,73,7395,31,445,,7.3,1,672,390
2024-10-19,55,73,7540,31,460,,6.7,0,681,386
2024-10-20,58,77,8508,24,533,,7.5,1,670,381
2024-10-21,59,81,9457,24,548,,7.5,0,643,389
2024-10-23,56,72,7871,34,467,,7.6,0,681,401
2024-10-24,59,79,9918,22,534,98,7,0,646,430
2024-10-25,60,72,8371,39,414,,7,1,632,423
2024-10-27,57,70,9487,38,510,98,7.1,1,631,401
2024-10-28,58,79,6594,33,562,,7.6,0,646,417
2024-10-29,59,77,8366,39,440,,7.4,0,675,429
2024-10-30,59,77,8219,21,494,97,7.4,1,641,388
2024-11-01,55,80,9081,33,546,98,7.1,1,629,418
2024-11-02,58,72,7323,30,558,96,7.3,0,614,420
2024-11-03,56,77,9260,34,396,,7.1,0,620,384
2024-11-04,56,80,8795,30,428,,6.6,0,615,405
2024-11-05,61,71,7377,26,556,97,6.6,0,648,414
2024-11-06,57,82,7015,29,552,,6.8,0,639,389
2024-11-07,55,78,9734,27,415,,6.7,0,644,415
2024-11-08,61,71,9325,20,546,97,6.9,1,627,409
2024-11-09,55,72,8812,33,475,,7.3,0,643,381
2024-11-10,60,77,6806,30,410,,6.6,1,657,410
2024-11-11,57,78,6511,29,563,97,7.5,0,661,415
2024-11-13,59,75,9108,32,476,97,7.2,0,644,395
2024-11-14,60,75,6733,24,552,,7.6,1,671,426
2024-11-15,60,78,8197,22,453,97,6.7,1,646,407
2024-11-16,58,82,8546,36,466,96,7.6,0,665,385
2024-11-17,58,72,6613,26,459,,6.7,0,676,421
2024-11-18,57,72,8873,33,497,,7.6,0,661,401
2024-11-19,56,77,9774,35,522,,7.2,0,651,382
2024-11-20,57,74,8786,32,433,,7.4,0,669,420
2024-11-21,60,81,8627,37,524,97,6.6,0,675,392
2024-11-22,56,80,8706,24,481,,7.5,1,664,395
2024-11-24,59,81,7098,29,399,,6.7,1,630,424
2024-11-25,59,70,6951,28,461,,6.8,0,616,400
2024-11-26,57,81,8788,23,562,,7.2,0,626,382
2024-11-27,61,71,7216,34,484,96,7.2,0,626,418
2024-11-28,60,71,8911,32,557,97,7,1,671,393
2024-11-29,57,78,9245,34,489,,7.4,1,657,411
2024-11-30,55,78,9470,32,430,98,6.6,1,640,384
2024-12-01,56,77,7447,32,538,98,6.6,1,661,408
2024-12-02,57,80,9082,29,427,,7.1,1,675,426
2024-12-03,57,72,8332,40,393,,6.7,0,666,389
2024-12-05,58,72,6486,26,520,97,6.7,0,627,407
2024-12-06,58,74,7962,36,480,,7.3,1,673,400
2024-12-07,55,73,8801,30,538,96,7.3,1,625,393
2024-12-08,60,82,8653,39,542,,6.8,0,657,428
2024-12-10,60,78,7337,35,461,97,6.5,0,643,410
2024-12-11,57,80,9414,32,431,97,7.3,1,660,391
2024-12-12,55,80,7845,23,528,,7.5,1,673,402
2024-12-14,61,72,9650,24,559,97,6.9,0,667,405
2024-12-15,56,71,6787,24,401,97,7.5,0,659,392
2024-12-16,59,77,9441,24,422,96,7.4,0,659,421
2024-12-17,60,81,7220,32,428,96,7.7,1,629,411
2024-12-18,55,74,6400,36,514,97,7.5,0,683,386
2024-12-19,58,77,7727,26,522,,7.1,1,617,417
2024-12-20,59,76,7401,35,468,,7.3,0,659,414
2024-12-21,60,74,9537,23,460,,7.6,0,681,404
2024-12-22,55,79,8476,28,521,96,6.9,0,659,394
2024-12-23,60,79,8256,32,540,,7.1,0,672,399
2024-12-24,56,81,8870,24,516,97,7,1,632,430
2024-12-25,56,78,6939,33,399,97,7.1,1,650,408
2024-12-26,60,75,7335,40,538,,7,0,620,400
2024-12-27,59,71,8577,31,480,98,6.6,1,647,385
2024-12-28,56,76,8279,20,401,96,6.9,1,661,428
2024-12-29,61,72,8669,38,485,97,6.8,1,649,391
2024-12-30,57,77,7080,20,395,,7.6,0,622,413
2025-01-01,56,71,9462,27,445,98,7.5,0,636,399
2025-01-02,61,81,9086,21,509,97,6.8,0,658,400
2025-01-03,57,77,8046,33,539,96,7.4,1,624,409
2025-01-04,56,79,7337,23,478,,7.6,0,635,382
2025-01-05,57,74,6547,37,569,,7.1,0,682,420
2025-01-06,56,77,6759,23,400,,7.4,0,641,382
2025-01-07,60,71,7937,38,460,98,7.5,0,665,401
2025-01-08,57,71,9618,23,523,96,6.7,0,659,426
2025-01-09,58,78,7668,36,427,,7.5,1,643,418
2025-01-10,55,76,9984,33,397,98,7.2,0,666,417
2025-01-11,56,79,9324,22,418,97,7.4,1,620,412
2025-01-12,57,79,7932,39,558,,7.4,1,616,390
2025-01-13,58,75,6831,26,451,,6.9,1,681,391
2025-01-14,61,73,7326,32,502,,6.8,1,678,392
2025-01-15,59,80,6786,21,395,97,7.2,0,618,383
2025-01-16,60,79,7963,23,560,,7.3,0,675,403
2025-01-17,57,77,9566,30,511,96,7.4,1,668,411
2025-01-18,58,79,7659,40,516,97,6.8,1,630,407
2025-01-19,57,77,7012,28,490,97,6.8,0,670,399
2025-01-20,59,71,6554,25,537,97,6.9,1,636,418
2025-01-21,59,80,9134,33,438,97,6.9,1,621,386
2025-01-22,55,81,8190,26,511,,7,0,650,387
2025-01-23,57,78,8530,32,509,97,7.6,1,678,422
2025-01-24,61,80,9816,22,488,97,7.7,1,663,384
2025-01-25,57,77,7574,26,447,97,7.4,0,665,429
2025-01-26,60,75,6415,23,476,,7.4,1,675,411
2025-01-27,59,79,9946,30,483,98,7.1,0,633,385
2025-01-28,58,72,8057,30,421,97,7.2,0,676,416
2025-01-29,59,81,9096,23,476,96,7.1,0,651,402
2025-01-30,58,75,8153,33,437,96,6.8,0,654,402
2025-01-31,56,81,7409,38,451,,7.1,1,629,384
2025-02-01,59,75,9680,36,515,97,7.5,1,662,399
2025-02-02,56,80,7681,35,491,,7.2,1,617,398
2025-02-03,61,72,6717,38,510,98,7.4,1,634,382
2025-02-04,56,76,8224,37,392,98,6.6,1,660,394
2025-02-06,59,79,9121,36,566,,7.2,1,642,416
2025-02-07,57,70,8772,31,557,96,7.1,1,681,393
2025-02-08,59,75,6702,24,559,,6.7,1,676,400
2025-02-10,55,71,9260,33,502,97,7.3,0,640,412
2025-02-11,58,71,9667,39,403,,6.5,1,631,421
2025-02-13,55,70,7225,29,546,,6.9,0,680,396
2025-02-14,59,71,8161,22,516,97,7.6,0,678,401
2025-02-15,57,79,8886,31,475,,7.3,1,657,400
2025-02-16,57,73,8581,37,531,,7.5,0,625,426
2025-02-17,57,70,7483,29,510,97,7.7,0,645,394
2025-02-18,56,74,8422,23,526,,6.7,1,680,385
2025-02-19,55,78,8403,20,517,97,7.4,1,681,426
2025-02-20,55,72,9113,29,417,,7.2,1,674,421
2025-02-21,59,80,9520,29,410,96,6.8,0,671,422
2025-02-22,58,75,7241,28,414,98,7.5,1,631,426
2025-02-23,56,74,9630,23,496,98,6.7,1,673,404
2025-02-24,59,72,8697,29,441,,7.5,1,614,418
2025-02-25,58,74,7651,27,536,96,7.6,1,625,420
2025-02-26,56,73,9265,32,473,96,6.9,0,616,398
2025-02-28,56,77,7233,21,566,,6.8,0,640,389
2025-03-01,59,78,9545,31,503,,7.4,0,674,427
2025-03-03,56,80,6870,30,511,97,7.3,0,656,389
2025-03-04,57,75,7976,23,507,,6.7,1,639,427
2025-03-05,57,76,8248,30,487,97,7,0,662,396
2025-03-06,56,78,6967,35,476,,7.4,0,666,391
2025-03-07,59,72,8614,30,515,97,6.8,0,678,380
2025-03-08,59,79,8967,38,409,,6.9,0,638,412
2025-03-09,55,74,9206,32,535,,7,0,646,407
2025-03-10,60,75,8031,26,404,97,6.6,0,624,423
2025-03-11,57,81,8504,22,404,,6.7,0,641,411
2025-03-12,61,75,6938,33,551,96,7.2,0,647,406
2025-03-13,60,75,8400,22,496,96,6.8,0,667,398
2025-03-14,61,71,7270,20,570,,7.3,1,671,406
2025-03-15,57,76,9697,24,429,98,6.5,1,629,390
2025-03-16,58,79,7469,27,427,,7.5,1,657,417
2025-03-17,56,78,9218,23,508,,7.1,0,625,414
2025-03-18,61,80,7075,28,435,97,6.9,0,631,393
2025-03-19,60,71,9123,28,443,97,6.5,0,616,387
2025-03-20,56,72,7494,24,569,,7.2,1,623,408
2025-03-21,56,77,7951,26,489,98,7.2,0,657,410
2025-03-22,58,77,7538,22,391,98,7.2,0,654,410
2025-03-23,57,79,7188,29,503,96,7.2,0,655,420
2025-03-24,60,71,7159,31,425,,7.3,0,636,407
2025-03-25,58,76,7479,31,403,,7.5,1,615,383
2025-03-26,54,67,12491,50,802,98,7.8,1,611,377
2025-03-27,54,72,10952,43,774,,7.5,1,608,397
2025-03-28,53,72,11409,59,678,,8.4,1,613,393
2025-03-29,51,69,10936,48,671,,8.3,1,600,383
2025-03-30,52,65,13727,49,665,99,7.4,1,616,406
2025-03-31,54,72,10626,53,783,97,8.2,1,598,365
2025-04-01,52,70,11910,53,724,,7.6,1,594,387
2025-04-02,52,65,13662,56,786,,7.9,1,599,395
2025-04-03,51,70,13137,58,633,,8,1,617,377
